comment,label
内容充实原创精品趣味性强实用性强制作精美内容生动互动性强思路新颖,1
好棒哟,1
教案实用,1
好实在对班级管理细致易操作内容充实丰富值得学习赞,1
很棒哦,1
比较式阅读提高了诗歌教学的效率,1
微课中几个截选的视频之间转换有音频错位的现象放完音频后出现一段时间的黑屏这里可以用一个画面代替纯黑的屏幕效果会好很多既然前面已经利用了视频后面分析的材料也可以直接用前面的视频材料来分析时间重复花在念题上,0
该节课教学重难点把握准确教学内容主次分明抓住关键结构合理衔接自然紧凑情感态度与价值观三个维度符合学段教学要求,1
我看得津津有味写得很精彩,1
下不了,0
看了海的颜色一课感受到了信息技术在课堂中应用时发挥的强大作用首先信息技术可以激发孩子学习的兴趣吸引他们课堂的注意力其次信息技术的应用将课本中的文字转化成了生动的视觉和听觉带给孩子身临其境的感觉充分地挖掘了文本中的信息帮助老师突破了教学难点使课堂更生动有趣,1
潘老师对教学重点的把握准确到位复习了有余数的除法并联系实际生活开展教学程序清晰有条理效果好,1
的确要以身作则要配合老师让孩子在家养成良好的习惯,1
教材做得很好,1
好漂亮,1
本节课成功地将传统教学与现代教学手段相结合利用信息技术的交互性多维度地呈现教师的教学内容和学生的学习过程切实提高了课堂教学效率,1
趣味性强,1
写的很好,1
活到老学到老,1
实用漂亮,1
这篇文章告诉了我们用目光倾听就是在和别人交流谈话时一定要用眼睛看着对方这是真诚和尊重的表现,1
很好二维码集合了备课组之力,1
教学相长用心了就是进步了,1
为什么不能直接预览呢,0
这个课件太短,0
好丑啊,0
没有答案,0
竟然要求学生书写个氢氧化钠分子,0
小数相乘小数点应点在哪里没讲我不知道,0
怎么没有答案,0
题目精彩就是点不开,0
这个课件很好可是为什么下载不了,0
为什么看不到,0
怎么上传个空的,0
非常不好,0
不能下载吗,0
看不到啊,0
推荐的都是名著但是个人感觉比较适合高中生阅读,0
推荐
重点部分特殊字体让孩子更直观,0
第三个例子用的不恰当,0
要是面对观众就更好了,0
笔算加法说得不是很好,0
乘法分配律不是小学的吗,0
减法的个位说的有点问题,0
下载太慢了,0
读错字好几个,0
为什么不能下载,0
不好看,0
看不了啊,0
快点看不了,0
思路呢,0
怎么进不去,0
能再详细些就好了或配上课堂实录也不错嘛,0
好少啊,0
完全没有文字实在难学习,0
为什么不显示,0
说好的风筝呢,0
旧版本的,0
就这,0
板书有点繁琐哦,0
平台现在既不支持预览下也不支持下载,0
本资源暂不支持预览请直接下载,0
居然看不了,0
危险,0
这狗日的东西,0
好难打开呀,0
容量太大,0
怎么一时下载地址又失败呢,0
教育云也真麻烦,0
难,0
课件做得一般,0
现在的孩子很累失去了童年失去了纯真失去了快乐,0
下载不了,0
课件怎么不能播放呢,0
一般,0
内容太少,0
不太会啊,0
六年级用太浪费三年级四年级用比较好,0
没打开,0
有答案最好,0
收费资源,0
为什么没有内容,0
为什么下载不了要云币就要云币呗但是点了下载后就按不动没反应了呢,0
怎么看不到内容是不是上传的时候有问题,0
为什么打不开,0
怎么没有呢,0
图片怎么没有了,0
有人不会下载直接发邮件过去的,0
这套卷子有点难度,0
下载了也打不开余老师怎么弄,0
错,0
和鄂教版的有点不一样,0
为什么啥都看不到,0
为什么一直打不开,0
这种文档速度很慢,0
慢慢等待中,0
加载好慢呀,0
起码等了三分钟都没出来,0
下载后根本没有内容,0
看不到呢,0
好就是短了点,0
到底写了些什么呢,0
要能预览就好了不能预览,0
啥呀这是,0
踩了,0
资源好难找,0
打不开,0
为什么下不下来,0
有一个错误,0
太简单了,0
简捷点,0
一般般有待改进,0
看不到,0
这应该是中学的课件,0
有个字打错了,0
乘减为什么减还可以解释得更清楚,0
做得挺好就是风筝有点,0
看不到咋回事,0
什么也没有,0
我觉得很好但是差了一些写感受加上就是十全十美了,0
看不了,0
空白的,0
不好,0
无敌的我又迷路了,0
为什么不能预览呢,0
文件已损坏什么情况,0
写得很好,1
简洁,1
老师的制作很细致声音很清晰文字也很好很赞,1
课件制作精美实用性强,1
画的非常好看不错,1
不错实用性好,1
发得好,1
两只手创造了奥妙,1
音乐不错很配这首诗听起来也非常有有韵意也很讯畅读的情感也很好太棒了,1
内容充实形象生动画面清晰互动性强,1
坚持作文一定有进步,1
小而精实用性强难度适中点赞赵鑫老师,1
非常好请问老师你有没有中国国地图分省市区的谢谢,1
实用性强互动性强思路新颖,1
这篇课文是一篇戏曲课文写得很好写出了作者喜爱花脸面具,1
太漂亮了赞不绝口呀,1
紧扣教材很好,1
没有用,0
精品借用谢谢,1
用心啦,1
加油很不错我要向你学习,1
严子翔讲得好棒啊,1
啊长知识啦,1
很漂亮内容写的很详细非常棒,1
内容实用性强,1
收集资料很好,1
内容丰富符合教学要求,1
这篇论文一定费了不少功夫谢谢你,1
空的,0
不行啊,0
这个课件非常好,1
这个课件很有趣,1
差评,0
